SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2011/1328,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2011-05-26,2011-05-27,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1329,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-05-31,2011-05-31,Pacific Oysters,,,,,NEGATIVE,,
BTX/2011/1373,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-05-31,2011-06-01,Pacific Oysters,PS ,,ND,,,,
BTX/2011/1374,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-05-31,2011-06-01,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2011/1375,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-05-31,2011-06-01,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2011/1392,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-06-01,2011-06-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1393,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-06-01,2011-06-02,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2011/1394,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-06-01,2011-06-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1395,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2011-06-01,2011-06-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/1396,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-06-01,2011-06-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/1397,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2011-06-01,2011-06-02,Cockles,NG,,,,NEGATIVE,<RL,
