SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2008/1674,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-06-02,2008-06-02,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1675,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-02,2008-06-03,Mussels,PS,195,,,,,Follow Up sample requested
BTX/2008/1676,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-02,2008-06-03,Pacific Oysters,PS,,ND,,,,Follow Up sample requested
BTX/2008/1677,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-06-02,2008-06-03,Cockles,NG,,,,,,
BTX/2008/1678,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1679,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-06-02,2008-06-03,Mussels,NG,,,,,<RL,
BTX/2008/1680,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1681,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1682,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2008-06-02,2008-06-03,Cockles,,,,,,<RL,
BTX/2008/1683,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-06-02,2008-06-03,Mussels,,,,,,<RL,
BTX/2008/1684,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-06-02,2008-06-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,Follow Up sample requested
BTX/2008/1685,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-06-02,2008-06-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1686,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1687,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1688,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1689,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1715,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1716,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1717,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1718,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1719,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1720,Dart,B028F,South Hams DC,SX87415599,Waddeton,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1721,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2008-06-03,2008-06-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1722,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1723,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1724,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1725,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-06-03,2008-06-04,Pacific Oysters,NG,,,,,,
BTX/2008/1749,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2008-06-04,2008-06-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1750,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2008-06-04,2008-06-05,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1751,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2008-06-04,2008-06-05,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1771,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1772,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2008-06-09,2008-06-10,Cockles,NG,,,,NG,<RL,
BTX/2008/1773,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1774,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2008-06-09,2008-06-10,Pacific Oysters,NG,,,,NG,<RL,
BTX/2008/1775,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1776,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-06-08,2008-06-10,Cockles,NG,,,,NG,<RL,
BTX/2008/1777,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-06-08,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1778,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-06-08,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1779,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1780,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-09,2008-06-10,Mussels,PS,71,,,,,Follow Up sample requested
BTX/2008/1781,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-09,2008-06-10,Pacific Oysters,PS,,ND,,,,Follow Up sample requested
BTX/2008/1782,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2008-06-09,2008-06-10,Pacific Oysters,NG,,,,NG,<RL,
BTX/2008/1783,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2008-06-09,2008-06-10,Native Oysters,NG,,,,NG,<RL,
BTX/2008/1784,Southampton Water,B021D,Southampton PHA,SU45300770,Netley,2008-06-09,2008-06-10,Native Oysters,NG,,,,NG,<RL,
BTX/2008/1785,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2008-06-09,2008-06-10,Native Oysters,NG,,,,NG,<RL,
BTX/2008/1803,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2008-06-10,2008-06-11,Native Oysters,NG,,,,NG,<RL,
BTX/2008/1804,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1805,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1806,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1807,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1808,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-06-10,2008-06-11,Mussels,NG,,,,,,
BTX/2008/1809,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1810,The Thames,B016R,London PHA,TQ93877502,Barton Point,2008-06-10,2008-06-11,Mussels,NG,,,,NG,<RL,
BTX/2008/1811,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-06-09,2008-06-11,Pacific Oysters,,,,,NG,,Follow Up sample requested
BTX/2008/1854,Exe,B026E,Teignbridge DC,SX97808090,Pool,2008-06-16,2008-06-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1855,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2008-06-16,2008-06-17,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1856,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-16,2008-06-17,Pacific Oysters,PS,,ND,,NEGATIVE,<RL,
BTX/2008/1857,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-16,2008-06-17,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2008/1858,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2008-06-16,2008-06-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1859,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2008-06-16,2008-06-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1860,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2008-06-16,2008-06-17,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2007/1890,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2008-06-16,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1891,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2008-06-16,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1892,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-06-17,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1893,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-06-17,2008-06-18,Pacific Oysters,NG,,,,NEGATIVE,,Follow up sample requested
BTX/2007/1894,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2008-06-17,2008-06-18,Surf Clams,,,ND,,NEGATIVE,<RL,
BTX/2007/1895,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2008-06-17,2008-06-18,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2007/1896,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2008-06-17,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1897,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-06-17,2008-06-18,Mussels,NG,,,,,,
BTX/2007/1898,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2008-06-17,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1899,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2008-06-17,2008-06-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2007/1900,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2008-06-17,2008-06-18,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2007/1901,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-06-17,2008-06-18,Mussels,,,,,,<RL,
BTX/2008/1940,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2008-06-23,2008-06-23,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1941,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2008-06-23,2008-06-24,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1942,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2008-06-23,2008-06-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1943,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-06-23,2008-06-24,Mussels,NG,,,,,,
BTX/2008/1944,Exe,B026E,Teignbridge DC,SX97808090,Pool,2008-06-23,2008-06-24,Mussels,NG,,,,,,
BTX/2008/1945,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2008-06-23,2008-06-24,Cockles,PS,,ND,,,,
BTX/2008/1946,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2008-06-23,2008-06-24,Cockles,PS,,ND,,NEGATIVE,<RL,
BTX/2008/1947,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2008-06-23,2008-06-24,Cockles,PS,,ND,,NEGATIVE,<RL,
BTX/2008/1948,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2008-06-23,2008-06-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1949,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2008-06-23,2008-06-24,Cockles,PS,,ND,,NEGATIVE,<RL,
BTX/2008/1950,The Wash,,Boston BC,,Zone 1,2008-06-23,2008-06-24,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1951,The Wash,,Boston BC,,Zone 2,2008-06-23,2008-06-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1952,The Wash,,Boston BC,,Zone 2,2008-06-23,2008-06-24,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1953,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2008-06-23,2008-06-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1954,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-23,2008-06-24,Mussels,PS,<RL,,,,,
BTX/2008/1971,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-06-24,2008-06-24,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1972,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-06-23,2008-06-25,Cockles,NG,,,,,,
BTX/2008/1973,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-06-23,2008-06-25,Mussels,NG,,,,,,
BTX/2008/1974,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-06-23,2008-06-25,Mussels,NG,,,,,,
BTX/2008/1975,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2008-06-23,2008-06-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1976,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2008-06-24,2008-06-25,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1977,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2008-06-24,2008-06-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1978,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2008-06-24,2008-06-25,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1979,Ravenglass,B053B,Copeland DC,SD08509610,Ravenglass,2008-06-23,2008-06-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1980,Glaslyn/Dwyryd Estuary,B074E,Gwynedd CC,SN57103860,Porthmadog Harbour,2008-06-23,2008-06-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1981,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-06-24,2008-06-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2013,Swale,B076F,Swale BC,TR04206510,River Swale #6,2008-06-25,2008-06-26,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2034,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-06-30,2008-07-01,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2035,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2008-06-30,2008-07-01,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2036,Fowey,B070Q,Fowey PHA,SX13405165,Pont Pill No 34,2008-06-30,2008-07-01,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2037,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2008-06-30,2008-07-01,Mussels,NG,,,,,,
BTX/2008/2038,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2008-06-30,2008-07-01,Mussels,NG,,,,,,
BTX/2008/2039,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2008-06-30,2008-07-01,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2040,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-06-30,2008-07-01,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2069,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-07-01,2008-07-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2070,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2008-07-01,2008-07-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2071,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2008-07-01,2008-07-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2072,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2008-07-01,2008-07-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2073,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2008-07-01,2008-07-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2074,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2008-07-01,2008-07-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2075,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-07-01,2008-07-02,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2076,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2008-07-01,2008-07-02,Pacific Oysters,NG,,,,,,
BTX/2008/2077,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-07-01,2008-07-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2078,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2008-07-01,2008-07-02,Cockles,Unsuitable,,,Unsuitable,,Unsuitable,Follow Up sample requested
BTX/2008/2102,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2008-07-02,2008-07-03,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2117,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-07-06,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2118,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-07-06,2008-07-08,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2119,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-07-06,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2120,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2008-07-07,2008-07-08,Native Oysters,NG,,,,,,
BTX/2008/2121,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2008-07-07,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2122,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2008-07-06,2008-07-08,Mussels,NG,,,,,,
BTX/2008/2123,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2008-07-07,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2124,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2008-07-07,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2125,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2008-07-07,2008-07-08,Cockles,NG,,,,,,
BTX/2008/2126,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2008-07-07,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2127,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2008-07-07,2008-07-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2149,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2008-07-07,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2150,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-07-08,2008-07-09,Mussels,NG,,,,,,
BTX/2008/2151,Keyhaven,B075A,New Forest DC,SZ31599045,Anchorage,2008-07-08,2008-07-09,Native Oysters,NG,,,Insufficient,,<RL,Follow up sample requested
BTX/2008/2152,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2153,Ravenglass,B053B,Copeland DC,SD08509610,Ravenglass,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2154,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2155,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2156,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2008-07-08,2008-07-09,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2157,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2158,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-07-08,2008-07-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2202,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2008-07-14,2008-07-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2203,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2008-07-14,2008-07-15,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2204,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2008-07-14,2008-07-15,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2205,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2008-07-14,2008-07-15,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2206,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2008-07-14,2008-07-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2207,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2008-07-14,2008-07-15,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2208,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-07-14,2008-07-15,Mussels,NG,,,,NEGATIVE,,
BTX/2008/2209,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2008-07-14,2008-07-15,Mussels,NG,,,,,,
BTX/2008/2231,Southampton Water,B021D,Southampton PHA,SU45300770,Netley,2008-07-15,2008-07-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2232,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2008-07-15,2008-07-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2233,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2008-07-15,2008-07-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2234,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-07-15,2008-07-16,Mussels,NG,,,,,,
BTX/2008/2235,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-07-15,2008-07-16,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2236,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2008-07-15,2008-07-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2237,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-07-15,2008-07-16,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2278,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2008-07-21,2008-07-22,Native Oysters,,,,,NEGATIVE,,
BTX/2008/2279,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2280,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2281,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-07-21,2008-07-22,Mussels,NG,,,,,,
BTX/2008/2282,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2283,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-07-20,2008-07-22,Mussels,NG,,,,,,
BTX/2008/2284,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-07-20,2008-07-22,Mussels,NG,,,,,,
BTX/2008/2285,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-07-20,2008-07-22,Cockles,NG,,,,,,
BTX/2008/2286,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-07-21,2008-07-22,Pacific Oysters,NG,,,,,,
BTX/2008/2287,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2288,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2289,Stour Estuary,B061A,Thanet DC,TR35806340,Pegwell Bay,2008-07-21,2008-07-22,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/2290,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2008-07-21,2008-07-22,Cockles,NG,,,,,,
BTX/2008/2291,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-07-21,2008-07-22,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2292,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2293,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2008-07-21,2008-07-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/2313,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-07-22,2008-07-22,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/2314,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2008-07-22,2008-07-23,Pacific Oysters,NG,,,,NEGATIVE,<RL,
