SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2016/1698,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-06-06,2016-06-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1699,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-06-06,2016-06-07,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1700,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-06-06,2016-06-07,Hard clams,Unsuitable,,,Unsuitable,Unsuitable,Unsuitable,Unsuitable,Additional flesh sample requested
BTX/2016/1701,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-06-06,2016-06-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1702,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2016-06-06,2016-06-07,Mussels,,,,,,,<LOQ,
BTX/2016/1703,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2016-06-06,2016-06-07,Pacific oysters,ND,,,<RL,<RL,<RL,1.8,
BTX/2016/1704,The Wash,B003V,Boston BC,TF44234098,Toft,2016-06-06,2016-06-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1705,The Fleet,B25AI,Weymouth PHA,SY66377627,Fleet Oysters,2016-06-07,2016-06-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1731,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2016-06-07,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1732,North Kent Coast,B17BS,Canterbury CC,TR1028766858,WOCO Westbeach,2016-06-07,2016-06-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1733,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-06-07,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1734,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2016-06-07,2016-06-08,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1735,Swale,B076P,Swale BC,TR01316497,The Causeway,2016-06-07,2016-06-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
