SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2015/0021,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2015-01-05,2015-01-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0022,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-01-05,2015-01-06,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0023,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-01-05,2015-01-06,Mussels,ND,,,17,<RL,<RL,<LOQ,
BTX/2015/0024,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-01-05,2015-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0025,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-01-05,2015-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0026,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-01-05,2015-01-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0048,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0049,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0050,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0051,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-01-06,2015-01-07,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0052,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0053,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0068,North Kent Coast,B17AM,Canterbury CC,TR0820065453,Pollard,2015-01-07,2015-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0069,Chichester Harbour,B018M,Chichester DC,SU74690448,Emsworth,2015-01-07,2015-01-08,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0070,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-01-07,2015-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0090,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2015-01-12,2015-01-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0091,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0092,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0093,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0096,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0097,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0098,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0099,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0100,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0101,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0102,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0103,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2015-01-13,2015-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0104,West Mersea,B13AA,Colchester BC,TM02961224,West Mersea Outfall,2015-01-13,2015-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0105,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2015-01-14,2015-01-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0117,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-01-19,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0118,The Wash,B003V,Boston BC,TF44234098,Toft,2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0119,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0120,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2015-01-19,2015-01-20,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0121,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-01-19,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0122,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-01-19,2015-01-20,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0123,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0124,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2015-01-20,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0135,Duddon,B052D,Barrow-in-Furness BC,SD17067656,Duddon Channel,2015-01-19,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0136,Colne,B012F,Colchester BC,TM06301621,Pyefleet Spit,2015-01-20,2015-01-21,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0137,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0138,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-01-20,2015-01-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0139,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0140,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-01-20,2015-01-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0141,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0142,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2015-01-20,2015-01-21,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0143,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2015-01-20,2015-01-21,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0144,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0145,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2015-01-19,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0154,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-01-21,2015-01-22,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0159,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2015-01-26,2015-01-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0160,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2015-01-26,2015-01-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0161,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2015-01-26,2015-01-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0162,Swale,B076P,Swale BC,TR01316497,The Causeway,2015-01-26,2015-01-27,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0169,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2015-01-29,2015-01-30,Surf clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0188,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-02-02,2015-02-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0189,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-02-02,2015-02-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0190,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-02-02,2015-02-03,Mussels,ND,,,27,<RL,<RL,<LOQ,
BTX/2015/0191,West Mersea,B13AG,Colchester BC,TL97471341,Salcott Pacifics,2015-02-02,2015-02-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0192,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2015-02-03,2015-02-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0214,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-02-03,2015-02-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0215,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-02-03,2015-02-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0216,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-02-03,2015-02-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0217,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-02-03,2015-02-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0218,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-02-03,2015-02-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0221,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-02-03,2015-02-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0232,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-02-04,2015-02-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0233,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-02-04,2015-02-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0234,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-02-04,2015-02-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0235,Fal,B33BD,Cornwall PHA,SW84093949,TrelissickPontoon,2015-02-04,2015-02-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0236,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2015-02-04,2015-02-05,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0237,Porlock,B094A,West Somerset Council,SS87134783,Porlock Beach,2015-02-04,2015-02-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0238,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-02-04,2015-02-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0239,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-02-04,2015-02-05,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0255,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2015-02-09,2015-02-10,Mussels,ND,,,28,<RL,<RL,<LOQ,
BTX/2015/0256,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2015-02-09,2015-02-10,Mussels,ND,,,29,<RL,<RL,<LOQ,
BTX/2015/0257,Colne,B012F,Colchester BC,TM06211603,Pyefleet Spit,2015-02-09,2015-02-10,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0267,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2015-02-10,2015-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0268,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-02-10,2015-02-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0269,Menai Strait - East,B055S,Gwynedd CC,SH58334732,West of Bangor Pier,2015-02-10,2015-02-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0270,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2015-02-09,2015-02-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0271,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2015-02-10,2015-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0276,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2015-02-11,2015-02-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0277,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2015-02-11,2015-02-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0278,West Mersea,B13AA,Colchester BC,TM02971219,West Mersea Outfall,2015-02-11,2015-02-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0279,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2015-02-11,2015-02-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0280,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-02-11,2015-02-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0281,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2015-02-10,2015-02-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0282,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2015-02-10,2015-02-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0295,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-02-16,2015-02-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0310,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2015-02-17,2015-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0311,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2015-02-17,2015-02-18,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0312,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2015-02-17,2015-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0313,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-02-17,2015-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0314,Swansea,B037G,Swansea PHA,SS63388850,Mumbles (Swansea Bay south),2015-02-17,2015-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0315,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-02-17,2015-02-18,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0321,Porlock,B094A,West Somerset Council,SS87134783,Porlock Beach,2015-02-18,2015-02-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0322,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-02-18,2015-02-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0323,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-02-18,2015-02-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0324,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2015-02-18,2015-02-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0325,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2015-02-18,2015-02-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0326,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2015-02-18,2015-02-19,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0327,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2015-02-18,2015-02-19,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0328,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2015-02-18,2015-02-19,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0331,Duddon,B052D,Barrow-in-Furness BC,SD17067656,Duddon Channel,2015-02-18,2015-02-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0337,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2015-02-23,2015-02-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0344,Conwy,B044H,Conwy CBC,SH76107970,Morfa ,2015-02-24,2015-02-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0351,The Wash,B003V,Boston BC,TF44234098,Toft,2015-02-25,2015-02-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0352,Swale,B076P,Swale BC,TR01316497,The Causeway,2015-02-25,2015-02-26,Pacific oysters,ND,,,<RL,<RL,<RL,1.4,
BTX/2015/0400,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-03-03,2015-03-04,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0401,Fal,B33BD,Cornwall PHA,SW84093949,TrelissickPontoon,2015-03-03,2015-03-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0402,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2015-03-03,2015-03-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0403,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2015-03-03,2015-03-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0404,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2015-03-03,2015-03-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0405,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-03-03,2015-03-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0406,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-03-03,2015-03-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0407,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2015-03-03,2015-03-04,Surf clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0408,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-03-03,2015-03-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0409,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-03-03,2015-03-04,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0410,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-03-03,2015-03-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0429,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-03-04,2015-03-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0430,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-03-04,2015-03-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0457,West Mersea,B13AG,Colchester BC,TL97491340,Salcott Pacifics,2015-03-09,2015-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0475,Menai Strait - East,B055S,Gwynedd CC,SH58334732,West of Bangor Pier,2015-03-10,2015-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0476,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2015-03-09,2015-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0477,North Kent Coast,B17AM,Canterbury CC,TR0819065478,Pollard,2015-03-10,2015-03-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0478,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2015-03-10,2015-03-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0479,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-03-10,2015-03-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0480,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2015-03-10,2015-03-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0481,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2015-03-10,2015-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0501,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-03-11,2015-03-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0502,West Mersea,B13AA,Colchester BC,TM02991215,West Mersea Outfall,2015-03-11,2015-03-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0503,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2015-03-11,2015-03-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0504,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2015-03-11,2015-03-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0512,Swale,B076P,Swale BC,TR01316497,The Causeway,2015-03-12,2015-03-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0534,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-03-16,2015-03-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0537,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2015-03-17,2015-03-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0560,Colne,B012F,Colchester BC,TM06221603,Pyefleet Spit,2015-03-17,2015-03-18,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0561,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-03-17,2015-03-18,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0592,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2015-03-18,2015-03-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0593,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2015-03-18,2015-03-19,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0594,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2015-03-18,2015-03-19,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0595,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-03-18,2015-03-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0596,Swansea,B037G,Swansea PHA,SS63388850,Mumbles (Swansea Bay south),2015-03-18,2015-03-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0597,Porlock,B094A,West Somerset Council,SS87134783,Porlock Beach,2015-03-18,2015-03-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0601,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2015-03-19,2015-03-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0627,The Wash,B003V,Boston BC,TF44234098,Toft,2015-03-23,2015-03-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0628,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-03-23,2015-03-24,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0629,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-03-23,2015-03-24,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0630,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2015-03-23,2015-03-24,Surf clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0631,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2015-03-23,2015-03-24,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0663,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2015-03-24,2015-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0664,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2015-03-24,2015-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0665,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2015-03-24,2015-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0666,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-03-24,2015-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0667,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2015-03-24,2015-03-25,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0685,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-03-25,2015-03-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0686,Conwy,B044H,Conwy CBC,SH76107970,Morfa ,2015-03-25,2015-03-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
