SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2016-0001,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2016-01-04,2016-01-05,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0002,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2016-01-04,2016-01-05,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0018,West Mersea,B13AG,Colchester BC,TL97341340,Salcott Pacifics,2016-01-05,2016-01-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0019,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-01-05,2016-01-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0020,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-01-05,2016-01-06,Mussels,ND,,,24,38,<RL,<LOQ,
BTX-2016-0021,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-01-05,2016-01-06,Mussels,ND,,,19,<RL,<RL,<LOQ,
BTX-2016-0022,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-01-05,2016-01-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0023,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-01-05,2016-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0024,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2016-01-05,2016-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0025,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2016-01-05,2016-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0026,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-01-05,2016-01-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-0027,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-01-05,2016-01-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
