SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2017-0132,Swale,B076P,Swale BC,TR01316497,The Causeway,2017-01-19,2017-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0140,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2017-01-22,2017-01-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0141,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2017-01-22,2017-01-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0154,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-01-24,2017-01-25,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0156,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-01-25,2017-01-26,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0157,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-01-26,2017-01-27,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0158,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-01-26,2017-01-27,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0161,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2017-01-29,2017-01-31,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0167,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2017-01-30,2017-02-01,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0168,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-01-31,2017-02-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0170,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2017-01-31,2017-02-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0177,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-02-01,2017-02-02,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0178,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2017-02-01,2017-02-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0179,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2017-02-01,2017-02-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0180,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-02-01,2017-02-02,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0181,Dee,B45AE,Wirral BC,SJ21068470,West Kirby,2017-02-01,2017-02-02,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0182,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-02-02,2017-02-03,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0196,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2017-02-06,2017-02-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0197,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2017-02-06,2017-02-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0198,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2017-02-06,2017-02-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0199,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2017-02-06,2017-02-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0200,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2017-02-06,2017-02-07,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0201,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2017-02-06,2017-02-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0202,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2017-02-07,2016-02-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0214,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2017-02-07,2017-02-08,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0215,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-02-07,2017-02-08,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0216,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2017-02-07,2017-02-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0217,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,2017-02-06,2017-02-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0218,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2017-02-07,2017-02-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0219,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2017-02-07,2017-02-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0226,Colne,B012F,Colchester BC,TM0620916016,Pyefleet Spit,2017-02-08,2017-02-09,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0227,Conwy,B044V,Conwy CBC,SH7630579722,Conwy West,2017-02-08,2017-02-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0228,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2017-02-08,2017-02-09,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0229,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2017-02-07,2017-02-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0230,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2017-02-08,2017-02-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0231,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2017-02-08,2017-02-09,Surf clams,ND,,,<RL,<RL,<RL,3.3,
BTX-2017-0234,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2017-02-08,2017-02-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0235,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2017-02-09,2017-02-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0236,Roach,B73AF,London PHA,TQ94909207,Paglesham,2017-02-09,2017-02-10,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0237,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2017-02-09,2017-02-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0238,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-02-09,2017-02-10,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0239,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-02-09,2017-02-10,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0240,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2017-02-09,2017-02-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0246,North Kent Coast,B17BS,Canterbury CC,TR103266813,WOCO Westbeach,2017-02-13,2017-02-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0247,Burry Inlet,B038B,Carmarthenshire CC,SS48009850,North (West),2017-02-13,2017-02-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0248,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2017-02-12,2017-02-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0249,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-02-13,2017-02-14,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0250,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2017-02-13,2017-02-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0251,Lune,B066Y,Wyre BC,SD34504760,Sea Centre South,2017-02-13,2017-02-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0252,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2017-02-13,2017-02-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0253,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2017-02-13,2017-02-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0259,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2017-02-14,2017-02-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0260,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2017-02-14,2017-02-15,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0261,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2017-02-14,2017-02-15,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0262,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-02-14,2017-02-15,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0269,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-02-15,2017-02-16,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0270,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2017-02-15,2017-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0271,Beaulieu,B023I,New Forest DC,SU4028001350,Landing Stage,2017-02-15,2017-02-16,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0272,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-02-15,2017-02-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0273,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2017-02-15,2017-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0276,Swale,B076P,Swale BC,TR01316497,The Causeway,2017-02-16,2017-02-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0282,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-02-20,2017-02-21,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0283,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2017-02-19,2017-02-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0284,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2017-02-19,2017-02-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0285,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2017-02-20,2017-02-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0286,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-02-20,2017-02-21,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0287,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-02-20,2017-02-21,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0296,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2017-02-21,2017-02-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0301,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2017-02-22,2017-02-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0302,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2017-02-21,2017-02-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0303,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2017-02-22,2017-02-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0304,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2017-02-21,2017-02-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0308,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2017-02-23,2017-02-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0309,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2017-02-23,2017-02-24,Mussels,ND,,,14,<RL,<RL,<LOQ,
BTX-2017-0310,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2017-02-23,2017-02-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0350,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2017-02-28,2017-03-01,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0351,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2017-02-28,2017-03-01,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0352,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2017-02-28,2017-03-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0365,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-03-01,2017-03-02,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0366,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2017-03-01,2017-03-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0367,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2017-03-01,2017-03-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0372,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-03-02,2017-03-03,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0373,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-03-02,2017-03-03,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0396,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2017-03-06,2017-03-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0397,Swale,B076P,Swale BC,TR01316497,The Causeway,2017-03-06,2017-03-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0398,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2017-03-06,2017-03-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0399,Dee,B45AE,Wirral BC,SJ21068470,West Kirby,2017-03-06,2017-03-07,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0400,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2017-03-06,2017-03-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0401,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2017-03-06,2017-03-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0402,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2017-03-07,2017-03-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
