SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2017-0001,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2017-01-03,2017-01-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0002,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-01-03,2017-01-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0005,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2017-01-04,2017-01-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0006,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,2017-01-04,2017-01-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0007,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2017-01-04,2017-01-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0008,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-01-04,2017-01-05,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0009,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-01-04,2017-01-05,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0012,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-01-05,2017-01-06,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0013,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2017-01-05,2017-01-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0032,Burry Inlet,B038B,Carmarthenshire CC,SS48009850,North (West),2017-01-09,2017-01-10,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0033,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2017-01-09,2017-01-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0034,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2017-01-08,2017-01-10,Mussels,ND,,,57,<RL,<RL,<LOQ,
BTX-2017-0035,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2017-01-09,2017-01-10,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0036,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2017-01-09,2017-01-10,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0037,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2017-01-10,2017-01-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0059,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-01-10,2017-01-11,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0060,Colne,B012F,Colchester BC,TM0620916016,Pyefleet Spit,2017-01-10,2017-01-11,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0061,Beaulieu,B023I,New Forest DC,SU4028001350,Landing Stage,2017-01-10,2017-01-11,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0062,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2017-01-10,2017-01-11,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0063,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2017-01-10,2017-01-11,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0064,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2017-01-10,2017-01-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0065,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2017-01-10,2017-01-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0066,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2017-01-10,2017-01-11,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0075,Camel,B35AE,Cornwall CC,SW93427530,Porthilly Rock B,2017-01-11,2017-01-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0076,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2017-01-11,2017-01-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0077,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2017-01-11,2017-01-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0078,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2017-01-11,2017-01-12,Surf clams,ND,,,<RL,<RL,<RL,3,
BTX-2017-0079,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-01-11,2017-01-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0080,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2017-01-11,2017-01-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0081,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2017-01-11,2017-01-12,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0082,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2017-01-11,2017-01-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0083,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2017-01-11,2017-01-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0084,Roach,B73AF,London PHA,TQ94909207,Paglesham,2017-01-11,2017-01-12,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0085,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2017-01-11,2017-01-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0087,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-01-12,2017-01-13,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0088,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2017-01-12,2017-01-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0089,Conwy,B044V,Conwy CBC,SH76307972,Conwy West,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0090,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0091,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0092,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2017-01-16,2017-01-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0093,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0094,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0095,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2017-01-16,2017-01-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0096,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2017-01-16,2017-01-17,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2017-0112,North Kent Coast,B17BS,Canterbury CC,TR10296690,WOCO Westbeach,2017-01-17,2017-01-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0113,Lune,B066Y,Wyre BC,SD34504760,Sea Centre South,2017-01-16,2017-01-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0114,The Wash,B003V,Boston BC,TF44234098,Toft,2017-01-16,2017-01-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0115,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2017-01-17,2017-01-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0119,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0120,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2017-01-18,2017-01-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0121,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2017-01-18,2017-01-19,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0122,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2017-01-18,2017-01-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0123,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2017-01-18,2017-01-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0124,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0125,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2017-01-18,2017-01-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0126,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0127,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2017-01-17,2017-01-19,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0128,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0129,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0130,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2017-01-18,2017-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0131,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2017-01-19,2017-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
