SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg),ActionRequired
BTX/2019/1126,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2019-06-11,2019-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1127,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2019-06-11,2019-06-12,Mussels,,,,125,<RL,<RL,,Additional flesh and water sample
BTX/2019/1128,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-06-11,2019-06-12,Mussels,,,,270,<RL,<RL,,Additional flesh sample
BTX/2019/1129,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2019-06-11,2019-06-12,Mussels,ND,,,75,<RL,<RL,<LOQ,
BTX/2019/1130,North Kent Coast,B17BS,Canterbury CC,TR1037566823,WOCO Westbeach,2019-06-11,2019-06-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1131,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2019-06-10,2019-06-12,Mussels,ND,,,29,<RL,<RL,<LOQ,
BTX/2019/1132,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2019-06-10,2019-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1140,Helford,B034W,Cornwall PHA,SW75512764,Porth Navas Quay,2019-06-12,2019-06-13,Pacific oysters,,,,<RL,<RL,<RL,,
BTX/2019/1141,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2019-06-12,2019-06-13,Pacific oysters,,,,<RL,<RL,<RL,,
BTX/2019/1142,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2019-06-12,2019-06-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1149,Colne,B012F,Colchester BC,TM0622215938,Pyefleet Spit,2019-06-13,2019-06-14,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1167,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-06-17,2019-06-18,Mussels,,,,121,<RL,<RL,,Additional flesh and water sample requested.
BTX/2019/1168,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2019-06-17,2019-06-18,Mussels,ND,,,38,<RL,<RL,<LOQ,
BTX/2019/1169,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2019-06-16,2019-06-18,Mussels,ND,,,,,,,
BTX/2019/1170,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2019-06-17,2019-06-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1171,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2019-06-17,2019-06-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1172,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2019-06-16,2019-06-18,Pacific oysters,Detected,<400,,,,,,
BTX/2019/1173,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2019-06-17,2019-06-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1194,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2019-06-18,2019-06-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1195,Porthallow Cove,B34AA,Cornwall PHA,SW80212387,Porthallow North,2019-06-18,2019-06-19,Mussels,ND,,,62,<RL,<RL,<LOQ,
BTX/2019/1196,Helford,B034W,Cornwall PHA,SW75512764,Porth Navas Quay,2019-06-18,2019-06-19,Pacific oysters,ND,,,,,,,
BTX/2019/1197,The Wash,B003V,Boston BC,TF44234098,Toft,2019-06-18,2019-06-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1198,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2019-06-18,2019-06-19,Surf clams,ND,,,<RL,<RL,<RL,5,
BTX/2019/1199,Poole,B54CL,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2019-06-18,2019-06-19,Mussels,ND,,,,,,,
BTX/2019/1206,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2019-06-19,2019-06-20,Mussels,ND,,,43,<RL,<RL,<LOQ,
BTX/2019/1207,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2019-06-19,2019-06-20,Pacific oysters,ND,,,,,,,
BTX/2019/1208,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2019-06-19,2019-06-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1209,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2019-06-19,2019-06-20,Mussels,ND,,,<RL,<RL,<RL,1.2,
BTX/2019/1215,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2019-06-20,2019-06-21,Mussels,,,,81,<RL,<RL,,Additional flesh and water sample requested.
BTX/2019/1216,Dee,B45AG,Wirral BC,SJ21068470,West Kirby,2019-06-20,2019-06-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1239,St. Austell Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2019-06-24,2019-06-25,Razors,ND,,,<RL,<RL,<RL,<LOQ,
