SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2013/0847,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2013-04-10,2013-04-11,Cockles,Not tested,,Not tested,Not tested,Not tested,Not tested,
BTX/2013/0848,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-04-10,2013-04-11,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0849,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-04-10,2013-04-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0850,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2013-04-10,2013-04-11,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0851,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2013-04-10,2013-04-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0856,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2013-04-11,2013-04-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0857,Poole,B54BL,Poole BC,SZ01818870,West Brownsea 1,2013-04-11,2012-04-12,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0876,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2013-04-15,2013-04-16,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0877,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-04-14,2013-04-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0898,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2013-04-16,2013-04-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0899,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2013-04-16,2013-04-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0900,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-04-16,2013-04-17,Native oysters,ND,,,,,,
BTX/2013/0901,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-04-16,2013-04-17,Mussels,ND,,,,,,
BTX/2013/0902,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-04-16,2013-04-17,Mussels,ND,,,,,,
BTX/2013/0903,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2013-04-16,2013-04-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0904,Blackwater,B014H,Maldon DC,TM050000,Ray Sands ,2013-04-16,2013-04-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0905,Dee,B045Q,Wirral BC,SJ21038497,West Kirby,2013-04-16,2013-04-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0906,North Kent Coast,B17AM,Canterbury CC,TR0820065385,Pollard,2013-04-16,2013-04-17,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0907,West Mersea,B013D,Colchester BC,TL99101260,Salcott ,2013-04-16,2013-04-17,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0929,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2013-04-18,2013-04-19,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0946,Burry Inlet,B038B,Carmarthenshire CC,SS47959886,North (West),2013-04-22,2013-04-23,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0947,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels ,2013-04-22,2013-04-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
