SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2012/1499,Portland,B25AA,Weymouth PHA,SY6925477458,Lyme Bay Shellfish,2012-05-28,2012-05-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1517,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2012-05-28,2012-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1518,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1519,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1520,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1521,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-05-28,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1522,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-05-28,2012-05-29,Mussels,Detected,<RL,,,,,
BTX/2012/1523,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-05-28,2012-05-29,Native oysters,ND,,,,,,
BTX/2012/1524,Swale,B076A,Swale BC,TQ97136631,Swale BC/1 ,2012-05-28,2012-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1555,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-05-29,2012-05-30,Mussels,ND,,,,,,
BTX/2012/1556,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2012-05-29,2012-05-30,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1577,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2012-05-30,2012-05-31,Pacific oysters,ND,,,,,,
BTX/2012/1578,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-05-30,2012-05-31,Mussels,ND,,,,,,
BTX/2012/1579,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-05-30,2012-05-31,Mussels,ND,,,,,,
BTX/2012/1580,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-05-30,2012-05-31,Mussels,Not tested,,Not tested,Not tested,Not tested,Not tested,
BTX/2012/1647,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-06-06,2012-06-07,Pacific oysters,ND,,89,<RL,<RL,<LOQ,
BTX/2012/1650,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2012-06-06,2012-06-07,Mussels,,,<RL,<RL,<RL,,
BTX/2012/1645,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2012-06-06,2012-06-07,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1648,Exe,B026E,Teignbridge DC,SX97848089,Pool,2012-06-06,2012-06-07,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1649,Teign,B027G,Teignbridge DC,SX92747281,Gas Works ,2012-06-06,2012-06-07,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1651,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1652,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1653,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1657,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels ,2012-06-07,2012-06-08,Mussels,,,,,,<LOQ,
BTX/2012/1658,Burry Inlet,B038B,Carmarthenshire CC,SS47959886,North (West),2012-06-07,2012-06-08,Cockles,,,,,,<LOQ,
BTX/2012/1679,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-06-11,2012-06-12,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1680,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-06-11,2012-06-12,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1681,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-06-11,2012-06-12,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1682,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-06-10,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1683,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-06-10,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1684,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-06-10,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1685,West Mersea,B013U,Colchester BC,TM03021211,Mersea Flats,2012-06-11,2012-06-12,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1686,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2012-06-11,2012-06-12,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1687,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2012-06-11,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1688,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2012-06-11,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1689,Portland,B25AA,Weymouth PHA,SY6925477458,Lyme Bay Shellfish,2012-06-12,2012-06-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1690,Portland,B025A,Weymouth PHA,SY6648376290,Fleet Oyster Farm ,2012-06-12,2012-06-12,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1723,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-06-11,2012-06-13,Pacific oysters,,,<RL,<RL,<RL,,
BTX/2012/1724,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-06-12,2012-06-13,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1725,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-06-12,2012-06-13,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1726,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-06-12,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1727,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-06-12,2012-06-13,Pacific oysters,Detected,438,<RL,<RL,<RL,1.7,
BTX/2012/1728,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-06-12,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1729,Lune,B066G,Wyre BC,SD34004870,Knott Spit ,2012-06-12,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1730,Deben,B010L,Suffolk Coastal DC,TM29834380,Girlings Hard,2012-06-12,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1731,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2012-06-12,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1732,Southampton Water,B021U,Southampton PHA,SU44640845,Near Netley Castle,2012-06-12,2012-06-13,Manila clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1733,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2012-06-11,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1734,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2012-06-11,2012-06-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1735,Dee,B045S,Flintshire CC,SJ16568203,Salisbury Bank,2012-06-11,2012-06-13,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1754,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2012-06-13,2012-06-14,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1755,Mawddach,B064M,Gwynedd CC,SH62091557,Porth Aberammffra,2012-06-13,2012-06-14,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1758,Roach,B073C,London PHA,TQ95699247,Paglesham Reach ,2012-06-14,2012-06-15,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1759,West Mersea,B013D,Colchester BC,TL99101260,Salcott ,2012-06-14,2012-06-15,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1760,Helford,B034X,Cornwall PHA,SW75462765,Porth Navas Quay,2012-06-13,2012-06-15,Mussels,,568,,,,,
BTX/2012/1784,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2012-06-17,2012-06-19,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1785,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2012-06-17,2012-06-19,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1786,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point ,2012-06-17,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1787,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2012-06-18,2012-06-19,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1788,Taw/Torridge,B036F,North Devon DC,SS47403210,Cool Stone - Instow ,2012-06-18,2012-06-19,Mussels,Unable to analyse - Lab error,,Unable to analyse - Lab error,Unable to analyse - Lab error,Unable to analyse - Lab error,Unable to analyse - Lab error,Additional flesh sample requested
BTX/2012/1789,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1790,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1791,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2012-06-18,2012-06-19,Pacific oysters,ND,,,,,,
BTX/2012/1792,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-06-18,2012-06-19,Pacific oysters,Detected,<RL,,,,,
BTX/2012/1793,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-06-18,2012-06-19,Mussels,Detected,<RL,,,,,
BTX/2012/1794,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,,
BTX/2012/1795,Camel,B035X,Cornwall CC,SW93427533,Porthilley Cove,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1796,The Wash,B003D,Boston BC,TF44403720,Maretail,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1797,The Wash,B003L,Boston BC,TF47604700,Wrangle,2012-06-18,2012-06-19,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1798,Colwyn Bay,B069A,Conwy CBC,SH832815,Rhos-on-Sea ,2012-06-18,2012-06-19,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1799,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2012-06-18,2012-06-19,Mussels,,,Unable to analyse - Lab error,Unable to analyse - Lab error,Unable to analyse - Lab error,,Additional flesh sample requested
BTX/2012/1800,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-06-18,2012-06-19,Pacific oysters,ND,,,,,,
BTX/2012/1830,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2012-06-19,2012-06-20,Mussels,,,<RL,<RL,<RL,,
BTX/2012/1831,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels ,2012-06-18,2012-06-20,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1832,Three Rivers,B071D,Carmarthenshire CC,SN332086,Ginst Point - West,2012-06-18,2012-06-20,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1833,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S ,2012-06-19,2012-06-20,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1834,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2012-06-19,2012-06-20,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1835,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52102890,Breast Sand,2012-06-19,2012-06-20,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1836,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2012-06-19,2012-06-20,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1837,North Kent Coast,B17AM,Canterbury CC,TR0815765393,Pollard,2012-06-19,2012-06-20,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1838,Dee,B045S,Flintshire CC,SJ17648100,Salisbury Bank,2012-06-19,2012-06-20,Cockles,,,<RL,<RL,<RL,,
BTX/2012/1839,Burry Inlet,B038B,Carmarthenshire CC,SS47959886,North (West),2012-06-18,2012-06-20,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1857,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow ,2012-06-20,2012-06-21,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1858,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2012-06-20,2012-06-21,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1859,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax ,2012-06-20,2012-06-21,Mussels,Not tested - sampled in error,,Not tested - sampled in error,Not tested - sampled in error,Not tested - sampled in error,Not tested - sampled in error,
BTX/2012/1860,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2012-06-20,2012-06-21,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1861,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands ,2012-06-20,2012-06-21,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1862,Dart,B028F,South Hams DC,SX87415599,Waddeton ,2012-06-20,2012-06-21,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1865,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2012-06-21,2012-06-22,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1866,Crouch,B015M,Maldon DC,TQ892973,Althorne Creek,2012-06-21,2012-06-22,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1883,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-06-24,2012-06-26,Mussels,ND,,,,,,
BTX/2012/1884,Milford Haven,B39CM,Pembrokeshire CC,SN01060614,Lawrenny Quay,2012-06-24,2012-06-26,Mussels,ND,,,,,,
BTX/2012/1885,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2012-06-24,2012-06-26,Mussels,ND,,,,,,
BTX/2012/1886,Helford,B034X,Cornwall PHA,SW75462765,Porth Navas Quay,2012-06-25,2012-06-26,Mussels,Detected,<RL,,,,,
BTX/2012/1887,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point ,2012-06-25,2012-06-26,Mussels,ND,,,,,,
BTX/2012/1888,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2012-06-25,2012-06-26,Cockles,ND,,,,,,
BTX/2012/1923,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-06-26,2012-06-27,Mussels,Detected,590,,,,,
BTX/2012/1924,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-06-26,2012-06-27,Mussels,ND,,,,,,
BTX/2012/1925,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-06-26,2012-06-27,Mussels,ND,,<RL,<RL,<RL,,
BTX/2012/1926,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-06-26,2012-06-27,Mussels,Detected,<RL,,,,,
BTX/2012/1927,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-06-26,2012-06-27,Pacific oysters,Detected,<RL,,,,,
BTX/2012/1928,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2012-06-26,2012-06-27,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1929,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2012-06-26,2012-06-27,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1930,Dee,B045S,Flintshire CC,SJ16568205,Salisbury Bank,2012-06-26,2012-06-27,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1931,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-06-26,2012-06-27,Mussels,ND,,,,,,
BTX/2012/1932,Swale,B076A,Swale BC,TQ97006640,Swale BC/1 ,2012-06-26,2012-06-27,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1944,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2012-06-27,2012-06-28,Pacific oysters,ND,,,,,,
BTX/2012/1945,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2012-06-27,2012-06-28,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1950,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2012-06-28,2012-06-29,Pacific oysters,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1976,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-07-02,2012-07-03,Pacific oysters,ND,,<RL,47,<RL,<LOQ,
BTX/2012/1977,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-07-02,2012-07-03,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/1978,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-07-02,2012-07-03,Native oysters,Detected,<RL,<RL,<RL,<RL,1.1,
BTX/2012/1979,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-07-02,2012-07-03,Mussels,Detected,293,<RL,<RL,<RL,<LOQ,
BTX/2012/1980,Camel,B035X,Cornwall CC,SW93427533,Porthilley Cove,2012-07-02,2012-07-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1981,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2012-07-02,2012-07-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1982,Deben,B010L,Suffolk Coastal DC,TM29834380,Girlings Hard,2012-07-02,2012-07-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1983,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2012-07-03,2012-07-03,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2012,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-07-03,2012-07-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2013,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-07-03,2012-07-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2014,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-07-03,2012-07-04,Pacific oysters,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2012/2015,Roach,B073C,London PHA,TQ95699247,Paglesham Reach ,2012-07-03,2012-07-04,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2016,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2012-07-03,2012-07-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2017,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2012-07-03,2012-07-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2018,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2012-07-03,2012-07-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2019,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2012-07-03,2012-07-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2020,Teign,B027G,Teignbridge DC,SX92737273,Gas Works ,2012-07-03,2012-07-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2021,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2012-07-03,2012-07-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2022,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2012-07-03,2012-07-04,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2034,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2012-07-04,2012-07-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2035,Helford,B034X,Cornwall PHA,SW75462765,Porth Navas Quay,2012-07-04,2012-07-05,Mussels,Detected,<RL,,,,,
BTX/2012/2036,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S ,2012-07-04,2012-07-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2037,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2012-07-04,2012-07-05,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2044,Portland,B25AA,Weymouth PHA,SY6925477458,Lyme Bay Shellfish,2012-07-09,2012-07-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2059,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-07-08,2012-07-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2060,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-07-08,2012-07-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2061,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-07-08,2012-07-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2062,West Mersea,B013U,Colchester BC,TM03021211,Mersea Flats,2012-07-09,2012-07-10,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2063,St Ives Bay,B088G,Cornwall PHA,SW54323928,St Ives Central,2012-07-09,2012-07-10,Razors,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2064,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2012-07-09,2012-07-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2065,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2012-07-09,2012-07-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2066,Southampton Water,B021U,Southampton PHA,SU44640845,Near Netley Castle,2012-07-09,2012-07-10,Manila clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2101,Colwyn Bay,B069A,Conwy CBC,SH832815,Rhos-on-Sea ,2012-07-10,2012-07-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2102,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-07-10,2012-07-11,Mussels,ND,,,,,,
BTX/2012/2103,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-07-10,2012-07-11,Mussels,ND,,,,,,
BTX/2012/2104,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-07-10,2012-07-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2105,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2012-07-10,2012-07-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2106,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-07-10,2012-07-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2107,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2012-07-10,2012-07-11,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2124,West Mersea,B013D,Colchester BC,TL99101260,Salcott ,2012-07-11,2012-07-12,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2126,Lune,B066G,Wyre BC,SD34004870,Knott Spit ,2012-07-11,2012-07-13,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2127,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2012-07-12,2012-07-13,Pacific oysters,Detected,509,<RL,<RL,<RL,<LOQ,
BTX/2012/2150,The Wash,B003D,Boston BC,TF44403720,Maretail,2012-07-16,2012-07-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2151,The Wash,B003L,Boston BC,TF47604700,Wrangle,2012-07-16,2012-07-17,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2174,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2012-07-17,2012-07-18,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2175,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-07-17,2012-07-18,Pacific oysters,ND,,,,,,
BTX/2012/2176,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-07-17,2012-07-18,Mussels,Detected,263,,,,,
BTX/2012/2177,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-07-17,2012-07-18,Mussels,Detected,<RL,,,,,
BTX/2012/2178,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-07-17,2012-07-18,Mussels,ND,,,,,,
BTX/2012/2179,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-07-17,2012-07-18,Mussels,ND,,,,,,
BTX/2012/2180,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-07-17,2012-07-18,Native oysters,Detected,<RL,,,,,
BTX/2012/2181,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52102890,Breast Sand,2012-07-17,2012-07-18,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2182,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow ,2012-07-17,2012-07-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2183,Exe,B026E,Teignbridge DC,SX97808090,Pool,2012-07-17,2012-07-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/2184,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2012-07-17,2012-07-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
