SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2018-1011,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2018-06-05,2018-06-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1012,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-06-05,2018-06-06,Mussels,ND,,,,,,,
BTX-2018-1013,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2018-06-05,2018-06-06,Mussels,ND,,,128,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1014,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2018-06-05,2018-06-06,Mussels,,,,57,<RL,<RL,,
BTX-2018-1015,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2018-06-05,2018-06-06,Mussels,ND,,,96,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1016,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2018-06-05,2018-06-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1017,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2018-06-05,2018-06-06,Mussels,ND,,,30,<RL,<RL,<LOQ,
BTX-2018-1018,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2018-06-05,2018-06-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1019,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2018-06-05,2018-06-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1033,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2018-06-05,2018-06-07,Mussels,,,,138,<RL,<RL,,Additional flesh and water samples requested
BTX-2018-1034,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2018-06-06,2018-06-07,Mussels,ND,,,123,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1035,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2018-06-06,2018-06-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1037,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2018-06-07,2018-06-08,Mussels,ND,,,154,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2018-1063,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2018-06-11,2018-06-12,Mussels,ND,,,32,<RL,<RL,<LOQ,
BTX-2018-1064,The Wash,B003V,Boston BC,TF44234098,Toft,2018-06-11,2018-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1065,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2018-06-11,2018-06-12,Mussels,,,,104,<RL,<RL,,Additional flesh and water samples requested
