SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2005/0856,Poole,B54BM,Poole BC,SY98468768,Round Island,2005-09-20,2005-09-21,,Mussels,ND,,,,BTX/2005/0856
BTX/2005/0889,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2005-09-26,2005-09-27,,Mussels,UNSUITABLE,UNSUITABLE,,UNSUITABLE,BTX/2005/0889
BTX/2005/0890,Swale,B076F,London PHA,TR042651,River Swale #6,2005-09-26,2005-09-27,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0890
BTX/2005/0891,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2005-09-26,2005-09-27,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0891
BTX/2005/0892,Solent/Totland Bay,B024I,Isle of Wight Council,SZ43409340,Saltmead Ledge,2005-09-26,2005-09-27,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0892
BTX/2005/0893,The Solent,B24AR,Isle of Wight Council,SZ31708720,Totland Bay Pier,2005-09-26,2005-09-27,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0893
BTX/2005/0894,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2005-09-27,2005-09-28,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0894
BTX/2005/0895,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2005-09-27,2005-09-28,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0895
BTX/2005/0896,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2005-09-27,2005-09-28,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/0896
BTX/2005/0897,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2005-09-27,2005-09-28,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0897
BTX/2005/0898,Camel,B035K,North Cornwall DC,SW92387395,Little Petherick Creek,2005-09-27,2005-09-28,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0898
BTX/2005/0899,Exe,B26AA,Teignbridge DC,SX977809,Pool,2005-09-27,2005-09-28,,Mussels,ND,,,,BTX/2005/0899
BTX/2005/0905,Morecambe Bay - Barrow,B077B,Barrow BC,SD185706,Cocken Tunnel,2005-09-28,2005-09-29,,Mussels,ND,,NEGATIVE,,BTX/2005/0905
BTX/2005/0906,Morecambe Bay - Roa Island,B077D,Barrow BC,SD233647,Roa Island,2005-09-28,2005-09-29,,Mussels,ND,,NEGATIVE,,BTX/2005/0906
BTX/2005/0918,The Solent,B24AX,Portsmouth PHA,SZ62239847,Haslar Wall,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0918
BTX/2005/0919,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0919
BTX/2005/0920,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0920
BTX/2005/0921,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0921
BTX/2005/0922,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2005-10-03,2005-10-04,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0922
