SiteNumber,SampleNumber,SiteLocation,BedLocation,GridReference,DateCollected,Species,PSP,DSP,ASP
21,724,Camel,Gentle Jane,SW 938 747,2001-05-14,Mussels,ND,NG,ND
,725,Camel,Trebetherick Rocks,SW 924 778,2001-05-14,Mussels,ND,NG,ND
12,726,Isle of Wight,Medina,SZ 505 935,2001-05-14,N.Oysters,ND,NG,ND
33,729,Barrow,Roa Island,SD 233 647,2001-05-14,Mussels,ND,NG,LOD
,743,River Thames,Barton Point,,2001-05-15,Mussels,ND,NG,LOD
31,744,Liverpool Bay,Leasowe LH,SJ 250 920,2001-05-14,Mussels,ND,NG,
6,749,Colchester,Upper Salcot,TL 991 126,2001-05-16,N.Oysters,,NG,LOD
,750,Colchester,Freeground,TM 027 122,2001-05-16,N.Oysters,ND,NG,LOD
,751,Colchester,Strood Channel,TM 001 137,2001-05-16,N.Oysters,,NG,
16,752,River Avon,Hexdown Quay,SX 671 447,2001-05-16,Mussels,ND,,LOD
,753,River Roach,Devils Quay,,2001-05-17,N.Oysters,47,NG,ND
7,756,River Thames,Buxey Site 4,,2001-05-21,Cockles,ND,NG,ND
,762,Fal Estuary,Greenbank,,2001-05-21,N.Oysters,ND,,ND
19,763,Fal Estuary,Turnaware,SW 838 375,2001-05-21,Mussels,ND,,ND
,764,Fal Estuary,Malpas,,2001-05-21,Mussels,ND,,ND
,765,Chichester,Chichester Channel,,2001-05-21,N.Oysters,,NG,
8,766,Chichester,Mill Rythe,SU 746 005,2001-05-21,N.Oysters,ND,,LOD
5,768,River Alde,Martello Tower,,2001-05-22,Mussels,ND,NG,LOD
1,769,River Blyth,,,2001-05-22,Mussels,,NG,LOD
14,781,Weymouth,Ferrybridge,,2001-05-23,P.Oysters,ND,NG,ND
,782,Weymouth,Weymouth Harbour,,2001-05-23,Mussels,ND,NG,
,783,Camel,Trebetherick Rocks,SW 924 788,2001-05-22,Mussels,ND,NG,ND
21,784,Camel,Gentle Jane,SW 938 747,2001-05-22,Mussels,ND,NG,ND
6,785,Colchester,Wreck Marker,TM 070 139,2001-05-18,Mussels,ND,PS,ND
18,786,Fowey,Pont Pill,SX 137 516,2001-05-23,P.Oysters,,NG,
,787,Fowey,Wisemans,SX 126 532,2001-05-23,Mussels,ND,NG,LOD
24,788,Milford Haven,Mt.Pleasant,SN 016 059,2001-05-23,Mussels,ND,NG,ND
28,805,Menai Strait,Kim 8,,2001-05-21,Mussels,ND,NG,ND
6,827,Blackwater,Goldhanger Creek,TL 925 077,2001-05-29,P.Oysters,ND,NG,ND
19,828,Helford,Calamansack,,2001-05-29,N.Oysters,ND,,ND
32,837,Ribble,Salters Bank,SD 328 259,2001-05-29,Mussels,ND,NG,LOD
