SampleNumber,NameofSite,NameOfBed,LocalAuthority,GridReference,BedId,DateSampleArrivedAtBurnham,DateSampleArrivedAtWeymouth,DateSampleCollected,SpeciesSampled,PSPResult_STX_Equivalent,DSPResultPositive_Negative,DomoicAcid
BTX/2001/0347,Morecambe Bay - Barrow,B077B,Barrow BC,SD185706,Cocken Tunnel,2001-08-06,2001-08-07,2001-08-07,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0348,Morecambe Bay - Roa Island,B077D,Barrow BC,SD233647,Roa Island,2001-08-06,2001-08-07,2001-08-07,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0344,Ravenglass,B053C,Copeland DC,SD08359610,Ravenglass 2,2001-08-06,2001-08-07,2001-08-07,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0429,Colne,B012E,Colchester BC,TM050164,Peewit Island,2001-08-21,2001-08-22,,Native oyster,ND,NEGATIVE,<LOD
BTX/2001/0431,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2001-08-21,2001-08-22,,Pacific oysters,ND,NEGATIVE,
BTX/2001/0406,Roach,BO73H,London PHA,TQ948934,Paglesham Reach,2001-08-14,2001-08-16,2001-08-15,Pacific oyster,ND,NEGATIVE,
BTX/2001/0410,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-20,2001-08-21,,Cockles,DSP only,NEGATIVE,DSP only
BTX/2001/0411,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-20,2001-08-21,,Pacific oyster,DSP only,NEGATIVE,DSP only
BTX/2001/0412,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-20,2001-08-21,,Clam,DSP only,NEGATIVE,DSP only
BTX/2001/0413,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-08-20,2001-08-21,,Cockles,DSP only,NEGATIVE,DSP only
BTX/2001/0414,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2001-08-20,2001-08-21,,Cockles,DSP only,NEGATIVE,DSP only
BTX/2001/0430,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2001-08-21,2001-08-22,2001-08-22,Native oysters,ND,NEGATIVE,<LOD
BTX/2001/0428,Portland,B025F,Weymouth PHA,SY68277575,Fleet Lagoon,2001-08-21,2001-08-21,,Mussels,ND,NEGATIVE,
BTX/2001/0415,Plymouth,EC50,Plymouth PHA,EC50,,2001-08-20,2001-08-21,2001-08-21,Scallop,ND,NEGATIVE,1.2
BTX/2001/0435,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2001-08-21,2001-08-22,,Mussels,ND,NEGATIVE,
BTX/2001/0433,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2001-08-21,2001-08-22,,Pacific oysters,ND,PSP only,
BTX/2001/0434,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2001-08-21,2001-08-22,,Mussels,ND,PSP only,
BTX/2001/0407,Falmouth Bay,EC34,Falmouth and Truro PHA,EC34,Falmouth Bay,2001-08-14,2001-08-16,,Scallop,ND,NEGATIVE,
BTX/2001/0432,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2001-08-21,2001-08-22,,Native oysters,ND,NEGATIVE,
BTX/2001/0425,Bigbury and Avon,B030C,South Hams DC,SX67254489,Hexdown Quay,2001-08-17,2001-08-21,,Pacific oyster,ND,NEGATIVE,
BTX/2001/0439,Camel,B035J,North Cornwall DC,SW939747,Gentle Jane,2001-08-21,2001-08-22,,Mussels,ND,NEGATIVE,
BTX/2001/0426,,,North Devon DC,,Yelland Power Station,2001-08-20,2001-08-21,,Mussels,ND,NEGATIVE,
BTX/2001/0416,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2001-08-20,2001-08-21,2001-08-21,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0417,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2001-08-20,2001-08-21,2001-08-21,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0421,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-08-20,2001-08-21,,Cockles,DSP only,POSITIVE,DSP only
BTX/2001/0422,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-08-20,2001-08-21,,Cockles,DSP only,NEGATIVE,DSP only
BTX/2001/0423,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-08-20,2001-08-21,,Cockles,DSP only,NEGATIVE,
BTX/2001/0424,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-08-20,2001-08-21,,Cockles,DSP only,POSITIVE,DSP only
BTX/2001/0436,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-08-21,2001-08-22,,Cockles,DSP only,POSITIVE,DSP only
BTX/2001/0437,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-08-21,2001-08-22,,Cockles,DSP only,POSITIVE,NEGATIVE
BTX/2001/0438,Burry Inlet,,Carmarthenshire C C,SS502984,Machynys,2001-08-21,2001-08-22,,Cockles,DSP only,NEGATIVE,DSP only
BTX/2001/0408,Mawddach,B064B,Gwynedd County BC,SH635151,Crescent,2001-08-15,2001-08-16,2001-08-16,Mussels,ND,NEGATIVE,LOD
BTX/2001/0409,Dovey,B041F,Gwynedd County BC,SN616959,Aberdyfi Slipway,2001-08-15,2001-08-16,2001-08-16,Cockles,ND,NEGATIVE,<LOD
BTX/2001/0418,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2001-08-20,2001-08-21,,Mussels,ND,,
BTX/2001/0427,Glaslyn/Dwyryd Estuary,B074B,Gwynedd County BC,SH579365,Dwyrd Estuary,2001-08-20,,2001-08-22,Mussels,,NEGATIVE,<LOD
BTX/2001/0419,,IS39,Wyre BC,IS39,"""Helen Mona""",2001-08-16,2001-08-21,2001-08-21,Scallops,ND,NEGATIVE,<LOD
BTX/2001/0420,,IS21,Wyre BC,IS21,"""Onward""",2001-08-16,2001-08-21,2001-08-21,Scallops,ND,,0.07
BTX/2001/0431,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2001-08-21,2001-08-22,2001-08-23,Pacific oysters,Reported Last week,NEGATIVE,<LOD
BTX/2001/0440,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2001-08-22,2001-08-23,2001-08-23,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0445,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-28,2001-08-29,,Cockles,,NEGATIVE,
BTX/2001/0446,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-28,2001-08-29,,Pacific oyster,,NEGATIVE,
BTX/2001/0447,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-08-28,2001-08-29,,Clam,,NEGATIVE,
BTX/2001/0448,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-08-28,2001-08-29,,Cockles,ND,NEGATIVE,
BTX/2001/0449,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2001-08-28,2001-08-29,,Cockles,ND,NEGATIVE,
BTX/2001/0443,Poole,B054Q,Poole Council,SZ064858,Hook Sands,2001-08-22,2001-08-24,2001-08-24,Mussels,ND,,<LOD
BTX/2001/0428,Portland,B025F,Weymouth PHA,SY68277575,Fleet Lagoon,2001-08-21,2001-08-21,2001-08-22,Mussels,Reported Last week,,<LOD
BTX/2001/0463,Portland,B025S,Weymouth PHA,,Bowleaze Cove,2001-08-29,2001-08-30,2001-08-30,Mussels,,,
BTX/2001/0435,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2001-08-21,2001-08-22,2001-08-22,Mussels,Reported Last week,,<LOD
BTX/2001/0464,Portland,B025F,Weymouth PHA,SY68277575,Wyke,2001-08-29,2001-08-30,2001-08-30,Mussels,,,
BTX/2001/0433,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2001-08-21,2001-08-22,2001-08-22,Pacific oysters,Reported Last week,,<LOD
BTX/2001/0434,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2001-08-21,2001-08-22,2001-08-22,Mussels,Reported Last week,NEGATIVE,<LOD
BTX/2001/0441,Plymouth,B032L,Plymouth PHA,SX407567,Lynher - Shillingham,2001-08-22,2001-08-23,2001-08-23,Mussels,ND,,<LOD
BTX/2001/0444,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2001-08-21,,2001-08-28,Mussels,,NEGATIVE,<LOD
BTX/2001/0452,Fishguard Harbour,B068B,Pembrokeshire CC,SM95063778,Goodwick Sands,2001-08-28,2001-08-29,2001-08-29,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0456,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-08-28,2001-08-29,,Cockles,,,
BTX/2001/0457,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-08-28,2001-08-29,,Cockles,,POSITIVE,
BTX/2001/0458,Burry Inlet,B038G,Carmarthenshire C C,SS483005,Machynys,2001-08-28,2001-08-29,,Mussels,,POSITIVE,
BTX/2001/0459,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-08-28,2001-08-29,,Cockles,,POSITIVE,
BTX/2001/0460,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-08-28,2001-08-29,,Cockles,,POSITIVE,
BTX/2001/0461,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-08-28,2001-08-29,,Cockles,,POSITIVE,
BTX/2001/0462,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-08-28,2001-08-29,,Cockles,,POSITIVE,NEGATIVE
BTX/2001/0450,Menai Strait West,B042A,Ynys Mon CC,SH47906510,Barras Is.,2001-08-28,2001-08-29,,Mussels,ND,,
BTX/2001/0451,Anglesey - Red Wharf Bay,B057A,Ynys Mon County BC,SH54008085,Traeth Coch,2001-08-28,2001-08-29,,Mussels,ND,POSITIVE,NEGATIVE
BTX/2001/0442,Ribble,B046C,W. Lancs DC,SD328259,Salters Bank,2001-08-23,2001-08-24,,Mussels,ND,NEGATIVE,
BTX/2001/0453,Offshore scallop ground,IS 21,Wyre BC,IS 21,"""Onward""",2001-08-25,2001-08-29,2001-08-29,Scallops,,NEGATIVE,<LOD
BTX/2001/0454,Offshore scallop ground,IS 21,Wyre BC,IS 21,"""Silverchord""",2001-08-25,2001-08-29,2001-08-29,Scallops,ND,,<LOD
BTX/2001/0455,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2001-08-22,2001-08-29,2001-08-29,Mussels,,,<LOD
