SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2020/2448,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF6595737003,Stubborn Sand,2024-10-14,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2449,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2024-10-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2450,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2024-10-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2451,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2024-10-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2452,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2024-10-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2453,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2024-10-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2467,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2024-10-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2468,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2024-10-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2471,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2024-10-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2472,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2024-10-16,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2491,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2024-10-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2492,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-10-20,Pacific oysters,Not tested,,,Not tested,Not tested,Not tested,Not tested
BTX/2020/2493,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2024-10-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2494,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2024-10-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2495,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-10-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2496,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2024-10-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2497,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2024-10-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2498,Bigbury and Avon,B030J,South Hams DC,SX67074458,South Hexdown North,2024-10-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2499,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2024-10-20,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2500,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2024-10-20,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2528,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2024-10-21,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2529,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-10-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2530,Taw/Torridge,B036V,Torridge DC,SS46533134,Neck Gut,2024-10-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2531,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2024-10-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2532,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2024-10-21,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2540,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,2024-10-22,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2541,Swale,B076P,Swale BC,TR01316497,The Causeway,2024-10-22,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2542,Start Bay,B087I,South Hams DC,SX 8472 4671,Off Strete,2024-10-22,Surf clams,ND,,,<RL,<RL,<RL,4
BTX/2020/2543,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2024-10-22,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2544,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2024-10-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2547,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2024-10-22,Native oysters,ND,,,<RL,<RL,<RL,1.4
BTX/2020/2548,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2024-10-22,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2549,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-10-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2583,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2024-10-28,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2584,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2024-10-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2593,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2024-10-29,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2622,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-11-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2623,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF79884539,Norton Creek Mussels,2024-11-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2645,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2024-11-04,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2646,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-11-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2655,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2024-11-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2656,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2024-11-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2657,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2024-11-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2658,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2024-11-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2659,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2024-11-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2660,The Wash,B003V,Boston BC,TF44234098,Toft,2024-11-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2661,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2024-11-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2662,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2024-11-05,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2669,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2024-11-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2701,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2024-11-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2702,Solent,B24BK,Southampton PHA,SZ56499887,Browndown,2024-11-11,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2703,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2024-11-11,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2704,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2024-11-11,Pacific oysters,ND,,,<RL,<RL,<RL,1.1
BTX/2020/2705,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2024-11-11,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2706,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-11-11,Mussels,,,,<RL,<RL,<RL,
BTX/2020/2712,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2024-11-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2713,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2024-11-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2714,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2024-11-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2715,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2024-11-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2716,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2024-11-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2717,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2024-11-13,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2718,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2024-11-13,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2731,Three Rivers,B071O,Carmarthenshire CC,SN36570690,Pastoun Scar,2024-11-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2732,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2024-11-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2733,Roach,B73AF,London PHA,TQ94909207,Paglesham,2024-11-17,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2734,Taw/Torridge,B036V,Torridge DC,SS46573142,Neck Gut,2024-11-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2735,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2024-11-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2736,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2024-11-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2737,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2024-11-17,Surf clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2738,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2024-11-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2755,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2024-11-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2756,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2024-11-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2757,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2024-11-18,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2765,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2024-11-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2766,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2024-11-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2767,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,2024-11-19,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2768,Swale,B076P,Swale BC,TR01316497,The Causeway,2024-11-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2769,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2024-11-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2770,Porlock,B094D,Somerset West & Taunton Council,SS87114787,Porlock East,2024-11-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2771,Bigbury and Avon,B030J,South Hams DC,SX67114467,South Hexdown North,2024-11-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2772,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2024-11-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2773,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-11-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2774,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2024-11-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2779,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2024-11-24,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2780,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2024-11-24,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2781,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2024-11-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2782,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2024-11-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2783,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-11-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2784,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2024-11-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2785,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-11-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2803,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-11-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2804,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2024-11-25,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2805,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2024-11-25,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2806,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2024-11-25,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2816,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2024-11-26,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2817,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2024-11-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2818,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2024-11-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2867,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2024-12-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2868,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2024-12-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2869,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2024-12-02,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2870,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2024-12-02,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2880,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2024-12-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2881,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2024-12-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2882,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2024-12-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2883,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2024-12-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2884,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-12-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2885,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2024-12-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2892,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-12-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2900,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2901,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2902,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2903,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2904,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2024-12-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2919,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2024-12-09,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2920,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-12-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2921,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2024-12-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2922,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2923,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2024-12-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2924,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2925,Swale,B076P,Swale BC,TR01316497,The Causeway,2024-12-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2926,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2024-12-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2927,Lyme Bay,B090M,Torbay BC,SY13687543,Site 1,2024-12-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2928,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2024-12-09,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2932,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2024-12-10,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2933,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-12-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2934,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2024-12-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2935,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2024-12-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2936,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2024-12-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2937,Dee,B45AB,Flintshire CC,SJ1712180450,Salisbury,2024-12-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2945,Three Rivers,B071O,Carmarthenshire CC,SN36570690,Pastoun Scar,2024-12-15,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2946,Burry Inlet,B038B,Carmarthenshire CC,SS554809950,North (West),2024-12-15,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2947,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2024-12-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2948,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2024-12-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2949,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF7987845358,Norton Creek Mussels,2024-12-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2950,Roach,B73AF,London PHA,TQ94909207,Paglesham,2024-12-15,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2951,Taw/Torridge,B036V,North Devon DC,SS46403160,Neck Gut 1,2024-12-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2952,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2024-12-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2953,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2024-12-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2954,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2024-12-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2955,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2024-12-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2956,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2024-12-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2972,The Wash,B003V,Boston BC,TF44234098,Toft,2024-12-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2973,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2024-12-16,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2974,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2024-12-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2975,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-12-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2976,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2024-12-16,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2977,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2024-12-16,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2978,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2024-12-16,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2979,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2024-12-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0001,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2025-01-05,Native oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0002,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2025-01-05,Manila clams,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0004,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2025-01-06,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0005,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2025-01-06,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0006,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2025-01-06,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0019,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2025-01-07,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0024,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0025,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0026,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0027,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0028,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF7987845358,Norton Creek Mussels,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0029,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2025-01-11,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0030,Taw/Torridge,B036V,Torridge DC,SS46573142,Neck Gut,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0031,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2025-01-12,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0033,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2025-01-13,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0056,Burry Inlet,B038B,Carmarthenshire CC,SS4570099862,North (West),2025-01-13,Cockles,Detected,<400,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0057,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2025-01-13,Pacific Oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0058,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2025-01-12,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0059,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2025-01-13,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0060,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2025-01-13,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0061,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2025-01-13,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
