SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2020/1921,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2024-08-26,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1932,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2024-08-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1933,Mevagissey Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2024-08-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1934,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-08-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1935,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2024-08-27,Mussels,ND,,,,,,
BTX/2020/1937,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2024-08-28,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1988,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-09-02,Mussels,Detected,<400,,,,,
BTX/2020/1989,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2024-09-02,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/1990,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2024-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1991,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2024-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1992,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2024-09-02,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/1993,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF79884539,Norton Creek Mussels,2024-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1994,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2024-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1995,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2024-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1996,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2024-09-02,Pacific oysters,ND,,,,,,
BTX/2020/1997,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2024-09-02,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/1998,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2024-09-02,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2009,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-09-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2010,Roach,B73AF,London PHA,TQ94909207,Paglesham,2024-09-02,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2011,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-09-03,Mussels,ND,,,<RL,<RL,<RL,1.1
BTX/2020/2012,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2024-09-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2013,Porlock,B094D,Somerset West & Taunton Council,SS87114787,Porlock East,2024-09-03,Pacific oysters,ND,,,,,,
BTX/2020/2014,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2024-09-03,Mussels,ND,,,,,,
BTX/2020/2015,North Kent Coast,B17BS,Canterbury CC,TR10296690,WOCO Westbeach,2024-09-04,Pacific oysters,ND,,,<RL,<RL,<RL,2.6
BTX/2020/2016,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2024-09-08,Razors,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2027,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-09-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2028,Mevagissey Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2024-09-08,Mussels,ND,,,,,,
BTX/2020/2029,The Wash,B003V,Boston BC,TF44234098,Toft,2024-09-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2030,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2024-09-09,Pacific oysters,ND,,,<RL,<RL,<RL,1.1
BTX/2020/2065,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2024-09-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2066,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2024-09-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2067,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2024-09-09,Pacific oysters,,,,<RL,<RL,<RL,
BTX/2020/2068,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2024-09-09,Pacific oysters,ND,,,,,,
BTX/2020/2069,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2024-09-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2070,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2024-09-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2071,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2024-09-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2072,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2024-09-08,Mussels,ND,,,,,,
BTX/2020/2087,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2024-09-10,Mussels,Detected,<400,,,,,
BTX/2020/2088,Dee,B45AB,Flintshire CC,SJ1774880536,Salisbury,2024-09-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2089,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2024-09-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2090,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2024-09-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2091,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2024-09-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2101,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2024-09-15,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2102,Three Rivers,B071O,Carmarthenshire CC,SN36570690,Pastoun Scar,2024-09-15,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2103,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-09-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2104,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2024-09-15,Mussels,ND,,,,,,
BTX/2020/2105,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2024-09-15,Mussels,ND,,,,,,
BTX/2020/2106,Taw/Torridge,B036V,Torridge DC,SS4669031020,Neck Gut 1,2024-09-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2107,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-09-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2108,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2024-09-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2109,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-09-15,Mussels,ND,,,,,,
BTX/2020/2155,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2024-09-16,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2156,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2024-09-16,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2157,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-09-16,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2158,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2024-09-16,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2159,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2024-09-16,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2160,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2024-09-16,Mussels,not tested,,,not tested,not tested,not tested,not tested
BTX/2020/2161,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2024-09-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2162,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2024-09-16,Surf clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2163,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2024-09-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2172,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2024-09-17,Mussels,ND,,,<RL,<RL,<RL,1
BTX/2020/2173,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2024-09-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2174,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2024-09-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2175,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2024-09-17,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2176,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2024-09-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2177,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2024-09-17,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2178,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2024-09-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2179,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2024-09-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2200,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-09-22,Mussels,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2201,Mevagissey Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2024-09-22,Mussels,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2202,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2024-09-22,Cockles,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2203,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2024-09-22,Cockles,not tested ,,,not tested ,not tested ,not tested ,not tested 
BTX/2020/2204,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2024-09-22,Mussels,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2205,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2024-09-22,Mussels,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2237,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-09-23,Pacific oysters,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2238,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2024-09-23,Mussels,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2239,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2024-09-23,Pacific oysters,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2240,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2024-09-23,Mussels,Detected,<400,,,,,
BTX/2020/2241,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2024-09-23,Native oysters,ND,,,<RL,<RL,<RL,<RL
BTX/2020/2242,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2024-09-22,Mussels,ND,,,,,,
BTX/2020/2243,Menai Strait - West,B042O,Gwynedd CC,SH49916579 ,Area 11 East,2024-09-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2244,Lyme Bay,B090M,Torbay BC,Unverified ,Site 1,2024-09-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2258,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2024-09-24,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2259,Beaulieu,B023I,New Forest DC,SU40280135,Landing Stage,2024-09-24,Manila clams,ND,,,<RL,<RL,<RL,1.9
BTX/2020/2260,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster Farm,2024-09-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2261,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,2024-09-24,Mussels,Not tested ,,,Not tested ,Not tested ,Not tested ,Not tested 
